number,value,datetime_start,datetime_complete,duration,params_aux_weight,params_batch_size,params_dropout,params_focal_alpha,params_focal_gamma,params_lr,params_pos_weight,params_warmup_ratio,params_weight_decay,state
30,0.4892703862660944,2026-03-03 04:25:53.434553,2026-03-03 04:30:21.224122,0 days 00:04:27.789569,0.16909251114209994,8,0.19266296166432095,0.92055513624287,1.3982220869348483,2.6312038828904215e-05,4.925288008033721,0.0650213242006784,0.022288637627000882,PRUNED
31,0.2736842105263158,2026-03-03 04:30:21.226159,2026-03-03 04:34:54.135686,0 days 00:04:32.909527,0.11706558108643582,16,0.12418702929611142,0.5685173839601716,1.1976819808463777,3.938477669313514e-05,1.9678688412665004,0.06399809216205629,0.01322901686093252,PRUNED
32,0.4891304347826087,2026-03-03 04:34:54.137359,2026-03-03 04:39:21.954417,0 days 00:04:27.817058,0.2055190352989456,8,0.13735227079231976,0.7510307304500932,0.9127160132109445,2.7252188667198e-05,2.896799860610934,0.13785614597595316,0.004574666346300973,PRUNED
33,0.4860557768924303,2026-03-03 04:39:21.956384,2026-03-03 04:43:49.753181,0 days 00:04:27.796797,0.2541624118163117,8,0.16079203386224655,0.6891075644153324,1.8839824643393597,1.7824384761407757e-05,4.675762129283849,0.05181066181003274,0.05169059104154674,PRUNED
34,0.44594594594594594,2026-03-03 04:43:49.754961,2026-03-03 04:48:17.573577,0 days 00:04:27.818616,0.22041567211822333,8,0.2314726877612241,0.6398806708404401,1.8761522370198855,3.7204430130746096e-05,4.152299063255579,0.08439136305121858,0.06516250863787616,PRUNED
35,0.3916913946587537,2026-03-03 04:48:17.575205,2026-03-03 04:54:58.313293,0 days 00:06:40.738088,0.31264026679713275,8,0.2082641478299343,0.714916671859324,1.7127730659523284,1.3525879115167678e-05,4.718333293367187,0.07000287475917581,0.026003913352111677,PRUNED
36,0.49107142857142855,2026-03-03 04:54:58.314970,2026-03-03 04:59:26.191765,0 days 00:04:27.876795,0.16747029240978858,8,0.27850913445050923,0.5857085866651117,1.6118110871551115,5.157630135753715e-06,4.995634190572407,0.05019873181694619,0.038291099539244464,PRUNED
37,0.5308056872037915,2026-03-03 04:59:26.193532,2026-03-03 05:12:48.177605,0 days 00:13:21.984073,0.25496207421403855,8,0.25658786787340027,0.5062204344337892,1.9773460752667331,2.337652251111739e-05,4.380583054279047,0.11336290505471684,0.007530815198103783,COMPLETE
38,0.4444444444444444,2026-03-03 05:12:48.179285,2026-03-03 05:17:21.086578,0 days 00:04:32.907293,0.3507895837394757,16,0.16086660350782794,0.5492496202654409,1.4643012272891376,2.2682456517261392e-05,3.8642743034831524,0.1185054932682238,0.006580144922887908,PRUNED
39,0.48559670781893005,2026-03-03 05:17:21.088696,2026-03-03 05:24:01.947495,0 days 00:06:40.858799,0.2912651837544389,8,0.29545760629801165,0.5053914213764532,1.6452185601754443,1.910606070214057e-05,4.424578828465215,0.1476037433350655,0.0031823251714179516,PRUNED
40,0.34710743801652894,2026-03-03 05:24:01.949109,2026-03-03 05:28:29.647701,0 days 00:04:27.698592,0.3428640837028422,8,0.2607875118983552,0.8449871182441939,0.7305248461009766,2.863552129645819e-05,2.5711538625192865,0.17970257144330218,0.008312121811391633,PRUNED
